,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_Chip,Categorial,Genero
604,667,8288,2389,01:44:47,01:33:34,Abierta,Femenino
605,668,3417,49,01:07:01,01:06:04,Plus,Femenino
606,669,3110,399,01:05:16,00:55:17,Abierta,Femenino
607,670,4112,700,01:10:32,01:00:01,Master,Masculino
608,671,2716,379,01:03:07,00:58:53,Plus,Masculino
609,672,0,0,DNS,DNS,Plus,Masculino
610,673,4575,629,01:12:53,01:03:54,Plus,Masculino
611,674,7859,2188,01:35:54,01:22:45,Abierta,Femenino
612,675,5119,242,01:15:29,01:10:51,Master,Femenino
613,676,4997,238,01:14:51,01:05:34,Master,Femenino
614,677,2636,1343,01:02:37,00:58:04,Abierta,Masculino
615,678,7881,2986,01:36:08,01:26:05,Abierta,Masculino
616,679,0,0,DNS,DNS,Master,Femenino
617,680,8642,1120,DNS,DNS,Master,Masculino
618,681,7250,399,01:28:59,01:23:01,Master,Femenino
619,682,4897,2215,01:14:22,01:06:53,Abierta,Masculino
620,683,7005,836,01:26:57,01:20:20,Plus,Masculino
621,684,1714,901,00:57:30,00:55:50,Abierta,Masculino
622,685,2650,293,01:02:45,01:01:03,Abierta,Femenino
623,686,7895,910,01:36:21,01:23:14,Plus,Masculino
624,687,6682,168,01:24:32,01:11:26,Plus,Femenino
625,688,2284,441,01:00:51,00:58:07,Master,Masculino
626,689,4422,738,01:12:11,01:02:51,Master,Masculino
627,690,1405,764,00:55:38,00:52:32,Abierta,Masculino
628,691,2153,1110,01:00:03,00:56:39,Abierta,Masculino
629,692,8236,2366,01:43:20,01:33:23,Abierta,Femenino
630,693,4301,2008,01:11:35,01:07:03,Abierta,Masculino
631,694,2142,1105,00:59:58,00:55:27,Abierta,Masculino
632,695,685,77,00:49:53,00:48:42,Plus,Masculino
633,696,0,0,DNS,DNS,Abierta,Masculino
634,697,0,0,DNS,DNS,Abierta,Femenino
635,698,2060,302,00:59:27,00:54:29,Plus,Masculino
636,699,0,0,DNS,DNS,Abierta,Femenino
637,700,4923,797,01:14:31,01:01:25,Master,Masculino
638,701,1211,81,00:54:14,00:52:54,Abierta,Femenino
639,702,668,138,00:49:47,00:49:15,Master,Masculino
640,703,8445,2461,01:54:31,01:41:04,Abierta,Femenino
641,704,8442,2458,01:54:25,01:40:58,Abierta,Femenino
642,705,8447,2462,01:54:32,01:41:02,Abierta,Femenino
643,706,0,0,DNS,DNS,Abierta,Femenino
644,707,3039,1509,01:04:56,00:50:04,Abierta,Masculino
645,708,5234,692,01:16:09,01:11:42,Plus,Masculino
646,709,2529,1291,01:02:09,00:58:15,Abierta,Masculino
647,710,1285,180,00:54:49,00:53:01,Plus,Masculino
648,711,0,0,DNS,DNS,Master,Femenino
649,712,2655,1350,01:02:46,00:59:44,Abierta,Masculino
650,713,0,0,DNS,DNS,Abierta,Masculino
651,714,3411,460,01:06:58,00:57:13,Abierta,Femenino
652,715,2714,516,01:03:07,00:59:51,Master,Masculino
653,716,2980,42,01:04:32,00:58:44,Plus,Femenino
654,717,0,0,DNS,DNS,Plus,Masculino
655,718,946,194,00:52:15,00:51:26,Master,Masculino
656,719,4908,2221,01:14:26,01:02:38,Abierta,Masculino
657,720,5702,1192,01:18:48,01:06:04,Abierta,Femenino
658,721,5707,2452,01:18:50,01:06:08,Abierta,Masculino
659,722,4085,567,01:10:22,01:05:06,Plus,Masculino
660,723,3611,507,01:07:56,01:03:38,Abierta,Femenino
661,724,8437,532,01:53:40,01:40:52,Master,Femenino
662,725,8343,270,01:46:58,01:37:46,Plus,Femenino
663,726,0,0,DNS,DNS,Plus,Masculino
664,727,4462,2068,01:12:23,01:06:42,Abierta,Masculino
665,728,0,0,DNS,DNS,Abierta,Femenino
666,729,0,0,DNS,DNS,Abierta,Masculino
667,730,3158,577,01:05:31,01:00:55,Master,Masculino
668,731,5902,755,01:20:00,01:05:45,Plus,Masculino
669,732,1437,287,00:55:49,00:55:03,Master,Masculino
670,733,1952,1013,00:58:46,00:55:40,Abierta,Masculino
671,734,3753,1802,01:08:38,01:00:07,Abierta,Masculino
672,735,3522,1715,01:07:31,01:01:44,Abierta,Masculino
673,736,751,424,00:50:29,00:47:00,Abierta,Masculino
674,737,8232,2363,01:43:12,01:30:59,Abierta,Femenino
675,738,2654,1349,01:02:45,01:02:19,Abierta,Masculino
676,739,2110,1091,00:59:49,00:58:06,Abierta,Masculino
677,740,4305,697,01:11:37,00:59:52,Abierta,Femenino
678,741,1536,821,00:56:23,00:55:22,Abierta,Masculino
679,742,69,10,00:38:50,00:38:28,Master,Masculino
680,743,150,83,00:42:17,00:42:16,Abierta,Masculino
681,744,2831,397,01:03:45,01:00:04,Plus,Masculino
682,745,4282,590,01:11:30,01:03:49,Plus,Masculino
683,746,4386,732,01:12:01,01:05:29,Master,Masculino
684,747,1090,211,00:53:24,00:52:57,Master,Masculino
685,748,963,535,00:52:24,00:50:08,Abierta,Masculino
686,749,525,309,00:48:24,00:47:17,Abierta,Masculino
687,750,183,25,00:43:06,00:42:17,Master,Masculino
688,751,854,476,00:51:29,00:49:05,Abierta,Masculino
689,752,1038,140,00:53:00,00:52:16,Plus,Masculino
690,753,857,478,00:51:30,00:50:59,Abierta,Masculino
691,754,5500,1111,01:17:36,01:11:04,Abierta,Femenino
692,755,4802,843,01:14:00,01:07:28,Abierta,Femenino
693,756,2465,1258,01:01:47,00:57:17,Abierta,Masculino
694,757,185,111,00:43:09,00:42:46,Abierta,Masculino
695,758,3866,541,01:09:09,01:00:51,Plus,Masculino
696,759,5764,742,01:19:08,01:10:49,Plus,Masculino
697,760,0,0,DNS,DNS,Abierta,Femenino
698,761,0,0,DNF,DNF,Master,Masculino
699,762,5515,1117,01:17:41,01:11:32,Abierta,Femenino
700,763,1739,347,00:57:38,00:50:40,Master,Masculino
701,764,4965,671,01:14:42,01:07:57,Plus,Masculino
